values,freq,unit,sex,age,geo,time
964385.0,A,NR,T,TOTAL,BE10,1990
960324.0,A,NR,T,TOTAL,BE10,1991
951217.0,A,NR,T,TOTAL,BE10,1992
950339.0,A,NR,T,TOTAL,BE10,1993
949070.0,A,NR,T,TOTAL,BE10,1994
951580.0,A,NR,T,TOTAL,BE10,1995
948122.0,A,NR,T,TOTAL,BE10,1996
950597.0,A,NR,T,TOTAL,BE10,1997
953175.0,A,NR,T,TOTAL,BE10,1998
954460.0,A,NR,T,TOTAL,BE10,1999
959318.0,A,NR,T,TOTAL,BE10,2000
964405.0,A,NR,T,TOTAL,BE10,2001
978384.0,A,NR,T,TOTAL,BE10,2002
992041.0,A,NR,T,TOTAL,BE10,2003
999899.0,A,NR,T,TOTAL,BE10,2004
1006749.0,A,NR,T,TOTAL,BE10,2005
1018804.0,A,NR,T,TOTAL,BE10,2006
1031215.0,A,NR,T,TOTAL,BE10,2007
1048491.0,A,NR,T,TOTAL,BE10,2008
1068532.0,A,NR,T,TOTAL,BE10,2009
1089538.0,A,NR,T,TOTAL,BE10,2010
1136778.0,A,NR,T,TOTAL,BE10,2011
1151317.0,A,NR,T,TOTAL,BE10,2012
1165208.0,A,NR,T,TOTAL,BE10,2013
1172751.0,A,NR,T,TOTAL,BE10,2014
1184101.0,A,NR,T,TOTAL,BE10,2015
1201285.0,A,NR,T,TOTAL,BE10,2016
1199095.0,A,NR,T,TOTAL,BE10,2017
1205492.0,A,NR,T,TOTAL,BE10,2018
1215290.0,A,NR,T,TOTAL,BE10,2019
1223364.0,A,NR,T,TOTAL,BE10,2020
1226329.0,A,NR,T,TOTAL,BE10,2021
1228655.0,A,NR,T,TOTAL,BE10,2022
1253178.0,A,NR,T,TOTAL,BE10,2023
1264371.0,A,NR,T,TOTAL,BE10,2024
1271709.0,A,NR,T,TOTAL,BE10,2025
12567.0,A,NR,T,Y_LT1,BE10,1990
12799.0,A,NR,T,Y_LT1,BE10,1991
12677.0,A,NR,T,Y_LT1,BE10,1992
12808.0,A,NR,T,Y_LT1,BE10,1993
12382.0,A,NR,T,Y_LT1,BE10,1994
12464.0,A,NR,T,Y_LT1,BE10,1995
12404.0,A,NR,T,Y_LT1,BE10,1996
12588.0,A,NR,T,Y_LT1,BE10,1997
12606.0,A,NR,T,Y_LT1,BE10,1998
12786.0,A,NR,T,Y_LT1,BE10,1999
13044.0,A,NR,T,Y_LT1,BE10,2000
13572.0,A,NR,T,Y_LT1,BE10,2001
14263.0,A,NR,T,Y_LT1,BE10,2002
13940.0,A,NR,T,Y_LT1,BE10,2003
14609.0,A,NR,T,Y_LT1,BE10,2004
15139.0,A,NR,T,Y_LT1,BE10,2005
15496.0,A,NR,T,Y_LT1,BE10,2006
16235.0,A,NR,T,Y_LT1,BE10,2007
16172.0,A,NR,T,Y_LT1,BE10,2008
16953.0,A,NR,T,Y_LT1,BE10,2009
17734.0,A,NR,T,Y_LT1,BE10,2010
18503.0,A,NR,T,Y_LT1,BE10,2011
18212.0,A,NR,T,Y_LT1,BE10,2012
18456.0,A,NR,T,Y_LT1,BE10,2013
18115.0,A,NR,T,Y_LT1,BE10,2014
18330.0,A,NR,T,Y_LT1,BE10,2015
18100.0,A,NR,T,Y_LT1,BE10,2016
17728.0,A,NR,T,Y_LT1,BE10,2017
17434.0,A,NR,T,Y_LT1,BE10,2018
17090.0,A,NR,T,Y_LT1,BE10,2019
16664.0,A,NR,T,Y_LT1,BE10,2020
15506.0,A,NR,T,Y_LT1,BE10,2021
15485.0,A,NR,T,Y_LT1,BE10,2022
14665.0,A,NR,T,Y_LT1,BE10,2023
13846.0,A,NR,T,Y_LT1,BE10,2024
13811.0,A,NR,T,Y_LT1,BE10,2025
12254.0,A,NR,T,Y1,BE10,1990
12230.0,A,NR,T,Y1,BE10,1991
12513.0,A,NR,T,Y1,BE10,1992
12371.0,A,NR,T,Y1,BE10,1993
12493.0,A,NR,T,Y1,BE10,1994
12207.0,A,NR,T,Y1,BE10,1995
12135.0,A,NR,T,Y1,BE10,1996
12261.0,A,NR,T,Y1,BE10,1997
12363.0,A,NR,T,Y1,BE10,1998
12507.0,A,NR,T,Y1,BE10,1999
12639.0,A,NR,T,Y1,BE10,2000
12898.0,A,NR,T,Y1,BE10,2001
13364.0,A,NR,T,Y1,BE10,2002
14110.0,A,NR,T,Y1,BE10,2003
13739.0,A,NR,T,Y1,BE10,2004
14360.0,A,NR,T,Y1,BE10,2005
15012.0,A,NR,T,Y1,BE10,2006
15315.0,A,NR,T,Y1,BE10,2007
16097.0,A,NR,T,Y1,BE10,2008
16358.0,A,NR,T,Y1,BE10,2009
16914.0,A,NR,T,Y1,BE10,2010
18019.0,A,NR,T,Y1,BE10,2011
18462.0,A,NR,T,Y1,BE10,2012
18104.0,A,NR,T,Y1,BE10,2013
18366.0,A,NR,T,Y1,BE10,2014
17914.0,A,NR,T,Y1,BE10,2015
18257.0,A,NR,T,Y1,BE10,2016
17695.0,A,NR,T,Y1,BE10,2017
17408.0,A,NR,T,Y1,BE10,2018
17134.0,A,NR,T,Y1,BE10,2019
16857.0,A,NR,T,Y1,BE10,2020
16202.0,A,NR,T,Y1,BE10,2021
15212.0,A,NR,T,Y1,BE10,2022
15349.0,A,NR,T,Y1,BE10,2023
14580.0,A,NR,T,Y1,BE10,2024
13536.0,A,NR,T,Y1,BE10,2025
11813.0,A,NR,T,Y2,BE10,1990
11973.0,A,NR,T,Y2,BE10,1991
11888.0,A,NR,T,Y2,BE10,1992
12192.0,A,NR,T,Y2,BE10,1993
12049.0,A,NR,T,Y2,BE10,1994
12238.0,A,NR,T,Y2,BE10,1995
11843.0,A,NR,T,Y2,BE10,1996
11904.0,A,NR,T,Y2,BE10,1997
11967.0,A,NR,T,Y2,BE10,1998
12092.0,A,NR,T,Y2,BE10,1999
12391.0,A,NR,T,Y2,BE10,2000
12426.0,A,NR,T,Y2,BE10,2001
12775.0,A,NR,T,Y2,BE10,2002
13189.0,A,NR,T,Y2,BE10,2003
13816.0,A,NR,T,Y2,BE10,2004
13416.0,A,NR,T,Y2,BE10,2005
14118.0,A,NR,T,Y2,BE10,2006
14787.0,A,NR,T,Y2,BE10,2007
15171.0,A,NR,T,Y2,BE10,2008
15890.0,A,NR,T,Y2,BE10,2009
16213.0,A,NR,T,Y2,BE10,2010
16999.0,A,NR,T,Y2,BE10,2011
17733.0,A,NR,T,Y2,BE10,2012
18134.0,A,NR,T,Y2,BE10,2013
17750.0,A,NR,T,Y2,BE10,2014
17992.0,A,NR,T,Y2,BE10,2015
17691.0,A,NR,T,Y2,BE10,2016
17746.0,A,NR,T,Y2,BE10,2017
17258.0,A,NR,T,Y2,BE10,2018
16920.0,A,NR,T,Y2,BE10,2019
16730.0,A,NR,T,Y2,BE10,2020
16357.0,A,NR,T,Y2,BE10,2021
15727.0,A,NR,T,Y2,BE10,2022
15045.0,A,NR,T,Y2,BE10,2023
14991.0,A,NR,T,Y2,BE10,2024
14286.0,A,NR,T,Y2,BE10,2025
11446.0,A,NR,T,Y3,BE10,1990
11457.0,A,NR,T,Y3,BE10,1991
11652.0,A,NR,T,Y3,BE10,1992
11591.0,A,NR,T,Y3,BE10,1993
11905.0,A,NR,T,Y3,BE10,1994
11869.0,A,NR,T,Y3,BE10,1995
11911.0,A,NR,T,Y3,BE10,1996
11596.0,A,NR,T,Y3,BE10,1997
11709.0,A,NR,T,Y3,BE10,1998
11735.0,A,NR,T,Y3,BE10,1999
11949.0,A,NR,T,Y3,BE10,2000
12254.0,A,NR,T,Y3,BE10,2001
12393.0,A,NR,T,Y3,BE10,2002
12683.0,A,NR,T,Y3,BE10,2003
12882.0,A,NR,T,Y3,BE10,2004
13506.0,A,NR,T,Y3,BE10,2005
13275.0,A,NR,T,Y3,BE10,2006
13842.0,A,NR,T,Y3,BE10,2007
14568.0,A,NR,T,Y3,BE10,2008
15027.0,A,NR,T,Y3,BE10,2009
15725.0,A,NR,T,Y3,BE10,2010
16377.0,A,NR,T,Y3,BE10,2011
16776.0,A,NR,T,Y3,BE10,2012
17373.0,A,NR,T,Y3,BE10,2013
17795.0,A,NR,T,Y3,BE10,2014
17401.0,A,NR,T,Y3,BE10,2015
17722.0,A,NR,T,Y3,BE10,2016
17133.0,A,NR,T,Y3,BE10,2017
17242.0,A,NR,T,Y3,BE10,2018
16895.0,A,NR,T,Y3,BE10,2019
16532.0,A,NR,T,Y3,BE10,2020
16215.0,A,NR,T,Y3,BE10,2021
15875.0,A,NR,T,Y3,BE10,2022
15521.0,A,NR,T,Y3,BE10,2023
14797.0,A,NR,T,Y3,BE10,2024
14682.0,A,NR,T,Y3,BE10,2025
10806.0,A,NR,T,Y4,BE10,1990
11204.0,A,NR,T,Y4,BE10,1991
11203.0,A,NR,T,Y4,BE10,1992
11411.0,A,NR,T,Y4,BE10,1993
11416.0,A,NR,T,Y4,BE10,1994
11758.0,A,NR,T,Y4,BE10,1995
11633.0,A,NR,T,Y4,BE10,1996
11752.0,A,NR,T,Y4,BE10,1997
11461.0,A,NR,T,Y4,BE10,1998
11518.0,A,NR,T,Y4,BE10,1999
11596.0,A,NR,T,Y4,BE10,2000
11813.0,A,NR,T,Y4,BE10,2001
12179.0,A,NR,T,Y4,BE10,2002
12345.0,A,NR,T,Y4,BE10,2003
12505.0,A,NR,T,Y4,BE10,2004
12644.0,A,NR,T,Y4,BE10,2005
13266.0,A,NR,T,Y4,BE10,2006
13171.0,A,NR,T,Y4,BE10,2007
13679.0,A,NR,T,Y4,BE10,2008
14494.0,A,NR,T,Y4,BE10,2009
14977.0,A,NR,T,Y4,BE10,2010
15925.0,A,NR,T,Y4,BE10,2011
16179.0,A,NR,T,Y4,BE10,2012
16612.0,A,NR,T,Y4,BE10,2013
17109.0,A,NR,T,Y4,BE10,2014
17513.0,A,NR,T,Y4,BE10,2015
17215.0,A,NR,T,Y4,BE10,2016
17274.0,A,NR,T,Y4,BE10,2017
16759.0,A,NR,T,Y4,BE10,2018
16942.0,A,NR,T,Y4,BE10,2019
16519.0,A,NR,T,Y4,BE10,2020
16081.0,A,NR,T,Y4,BE10,2021
15757.0,A,NR,T,Y4,BE10,2022
15796.0,A,NR,T,Y4,BE10,2023
15297.0,A,NR,T,Y4,BE10,2024
14590.0,A,NR,T,Y4,BE10,2025
11084.0,A,NR,T,Y5,BE10,1990
10620.0,A,NR,T,Y5,BE10,1991
10956.0,A,NR,T,Y5,BE10,1992
11096.0,A,NR,T,Y5,BE10,1993
11218.0,A,NR,T,Y5,BE10,1994
11329.0,A,NR,T,Y5,BE10,1995
11556.0,A,NR,T,Y5,BE10,1996
11515.0,A,NR,T,Y5,BE10,1997
11655.0,A,NR,T,Y5,BE10,1998
11320.0,A,NR,T,Y5,BE10,1999
11488.0,A,NR,T,Y5,BE10,2000
11500.0,A,NR,T,Y5,BE10,2001
11827.0,A,NR,T,Y5,BE10,2002
12107.0,A,NR,T,Y5,BE10,2003
12179.0,A,NR,T,Y5,BE10,2004
12294.0,A,NR,T,Y5,BE10,2005
12573.0,A,NR,T,Y5,BE10,2006
13150.0,A,NR,T,Y5,BE10,2007
13049.0,A,NR,T,Y5,BE10,2008
13583.0,A,NR,T,Y5,BE10,2009
14359.0,A,NR,T,Y5,BE10,2010
15163.0,A,NR,T,Y5,BE10,2011
15720.0,A,NR,T,Y5,BE10,2012
16022.0,A,NR,T,Y5,BE10,2013
16345.0,A,NR,T,Y5,BE10,2014
16924.0,A,NR,T,Y5,BE10,2015
