horizon,BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM
1990,75.65,76.08,76.45,75.8,76.46,76.33,75.86,74.38,74.29,74.46,74.11
1991,75.91,76.34,76.24,75.89,76.81,76.85,76.18,74.39,74.65,74.56,73.76
1992,75.87,76.78,76.39,76.1,76.93,76.68,76.51,74.34,74.95,75.0,74.99
1993,76.18,76.44,76.74,76.06,77.4,76.55,76.57,74.49,74.98,74.48,74.51
1994,76.3,76.99,77.2,76.72,77.32,76.73,77.44,74.77,75.26,75.01,74.64
1995,76.33,76.99,77.05,76.44,77.67,77.11,76.7,74.71,75.45,75.34,74.73
1996,76.89,77.46,77.6,76.78,77.91,76.95,76.8,74.8,75.58,75.68,75.33
1997,76.97,77.83,77.72,77.04,78.1,77.7,77.35,75.09,75.95,75.62,75.33
1998,76.99,77.63,77.88,77.24,78.11,77.96,77.37,75.1,75.78,75.26,75.5
1999,77.22,77.78,78.02,77.41,78.07,78.11,77.88,75.35,76.04,75.97,75.82
2000,77.73,77.88,77.9,77.55,78.33,78.54,77.88,75.26,76.17,76.56,75.63
2001,77.65,78.39,78.66,78.01,78.72,78.68,78.29,75.77,76.34,76.81,76.04
2002,77.7,78.48,78.41,78.06,79.13,78.61,78.51,75.57,76.47,77.09,76.19
2003,77.93,78.67,78.35,78.35,79.09,78.8,78.33,75.68,76.64,77.09,76.66
2004,78.54,79.21,79.43,78.98,79.56,79.5,79.2,76.29,77.42,77.12,76.85
2005,78.74,79.63,79.46,78.99,79.73,79.7,79.72,76.45,77.52,77.81,76.88
2006,78.88,79.66,79.93,79.27,80.56,80.25,80.11,76.82,77.8,77.95,77.5
2007,79.56,80.31,80.26,79.59,80.76,80.43,80.43,76.88,77.96,78.33,78.36
2008,79.2,80.17,80.25,79.65,80.72,80.07,79.75,76.96,78.04,77.76,77.86
2009,79.27,80.41,80.42,79.9,81.25,80.44,80.71,77.26,78.19,78.41,78.25
2010,79.77,80.54,80.74,80.46,81.17,80.67,80.58,77.55,78.34,78.52,78.05
2011,80.32,80.97,81.09,80.32,81.2,81.16,81.19,77.92,78.56,79.51,78.82
2012,79.86,80.89,81.1,80.43,81.59,81.31,80.92,77.84,78.96,79.43,78.39
2013,80.3,81.1,81.51,80.68,81.44,81.07,81.74,78.04,79.05,79.11,78.58
2014,80.8,81.75,82.01,81.47,82.16,81.82,81.41,78.64,79.71,80.24,79.48
2015,80.68,81.75,81.98,81.27,82.16,81.87,81.55,78.26,79.17,79.93,79.03
2016,81.09,81.83,82.23,81.77,82.41,82.29,82.29,78.57,79.64,79.84,79.46
2017,80.93,82.02,82.59,82.05,82.84,82.26,82.3,79.4,79.73,80.25,79.52
2018,81.33,82.31,82.37,82.02,82.73,82.34,82.68,79.09,79.92,80.85,79.93
2019,81.56,82.77,82.88,82.32,83.0,83.1,82.82,79.54,80.36,80.59,80.37
2020,79.69,81.86,82.06,81.77,82.55,82.07,81.67,77.83,78.3,79.79,79.25
2021,80.85,82.45,82.38,82.18,82.92,82.66,83.12,78.72,79.76,79.71,79.94
2022,81.57,82.54,82.3,82.46,83.18,82.71,82.68,79.16,79.99,80.08,80.41
2023,82.21,83.42,83.41,82.77,83.95,83.15,83.34,79.66,80.6,80.75,80.91
2024,82.05,83.45,83.68,83.2,84.09,83.67,83.77,79.61,80.77,81.29,81.03
2025,82.22,83.65,83.89,83.41,84.31,83.89,83.99,79.77,80.95,81.49,81.23
2026,82.38,83.85,84.11,83.63,84.52,84.1,84.21,79.92,81.12,81.69,81.43
2027,82.54,84.06,84.32,83.84,84.74,84.31,84.44,80.07,81.29,81.89,81.63
2028,82.7,84.26,84.53,84.06,84.95,84.53,84.66,80.23,81.47,82.09,81.82
2029,82.86,84.46,84.74,84.27,85.17,84.74,84.88,80.38,81.64,82.29,82.02
2030,83.02,84.66,84.94,84.49,85.39,84.96,85.1,80.53,81.81,82.49,82.22
2031,83.18,84.86,85.15,84.71,85.6,85.18,85.32,80.69,81.99,82.69,82.42
