simulation,BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM,LC parametric
1,14.92,15.42,15.51,15.37,15.45,15.38,15.35,14.64,14.82,14.87,14.81,15.17
2,14.88,15.35,15.47,15.3,15.41,15.31,15.31,14.49,14.77,14.75,14.77,15.05
3,14.68,15.16,15.29,15.09,15.24,15.12,15.13,14.21,14.56,14.52,14.56,15.05
4,14.8,15.28,15.39,15.23,15.34,15.25,15.24,14.42,14.69,14.69,14.68,15.11
5,15.05,15.55,15.67,15.5,15.6,15.49,15.52,14.66,14.97,14.92,14.97,15.15
6,14.74,15.2,15.31,15.13,15.27,15.17,15.16,14.33,14.62,14.61,14.61,15.18
7,14.78,15.25,15.37,15.18,15.32,15.21,15.21,14.35,14.67,14.64,14.66,15.32
8,14.75,15.23,15.36,15.17,15.3,15.19,15.2,14.29,14.63,14.59,14.63,15.16
9,14.89,15.38,15.49,15.32,15.43,15.33,15.33,14.5,14.78,14.77,14.78,14.98
10,14.67,15.15,15.29,15.09,15.24,15.11,15.13,14.18,14.55,14.49,14.55,15.01
11,14.89,15.35,15.46,15.29,15.41,15.32,15.31,14.52,14.78,14.77,14.78,15.06
12,14.94,15.42,15.57,15.36,15.51,15.35,15.41,14.4,14.84,14.71,14.85,15.05
13,14.72,15.23,15.37,15.16,15.31,15.19,15.2,14.28,14.62,14.58,14.62,15.26
14,14.93,15.41,15.52,15.35,15.46,15.36,15.37,14.55,14.83,14.81,14.82,15.19
15,14.83,15.31,15.43,15.25,15.37,15.28,15.27,14.45,14.72,14.72,14.72,15.27
16,14.99,15.48,15.56,15.43,15.5,15.45,15.41,14.74,14.89,14.95,14.88,15.25
17,14.92,15.42,15.5,15.37,15.44,15.39,15.35,14.68,14.82,14.9,14.81,15.0
18,14.93,15.42,15.52,15.36,15.46,15.37,15.37,14.58,14.83,14.83,14.82,15.21
19,14.88,15.38,15.52,15.32,15.45,15.33,15.35,14.44,14.79,14.73,14.79,15.16
20,14.77,15.27,15.41,15.21,15.34,15.23,15.24,14.34,14.66,14.62,14.67,15.05
21,14.9,15.37,15.49,15.31,15.43,15.32,15.34,14.47,14.79,14.75,14.79,15.16
22,14.81,15.29,15.4,15.23,15.35,15.26,15.24,14.45,14.7,14.71,14.7,15.31
23,14.93,15.42,15.52,15.36,15.46,15.38,15.37,14.59,14.83,14.83,14.82,15.19
24,14.92,15.41,15.5,15.36,15.44,15.38,15.35,14.63,14.83,14.86,14.82,15.0
25,14.8,15.26,15.41,15.2,15.35,15.21,15.25,14.27,14.69,14.58,14.69,15.31
26,14.88,15.35,15.48,15.29,15.42,15.3,15.32,14.44,14.78,14.72,14.78,15.06
27,14.81,15.26,15.39,15.2,15.34,15.22,15.23,14.36,14.7,14.65,14.69,15.09
28,14.88,15.35,15.47,15.29,15.41,15.31,15.31,14.47,14.77,14.74,14.77,15.13
29,14.84,15.32,15.41,15.26,15.36,15.28,15.26,14.49,14.72,14.74,14.71,15.11
