horizon,IDF,CVL,BOU,FCO,BN,HN,NPC,PIC,ALS,CHA,LOR,PDL,BRE,AQU,LIM,POI,LR,MPY,AUV,RA,PACA,COR
1990,77.55,77.61,76.78,76.73,76.43,76.12,74.12,75.15,75.46,76.23,75.77,77.27,75.36,77.15,76.69,77.62,77.1,77.59,76.3,77.26,77.11,76.3
1991,77.41,77.46,76.8,77.1,76.58,76.32,74.4,75.19,75.87,76.4,75.9,77.63,75.75,77.37,77.03,77.77,77.2,78.17,76.26,77.4,77.19,76.68
1992,77.72,77.84,77.14,77.35,77.13,76.34,74.82,75.79,76.55,76.63,76.19,77.56,76.24,77.61,77.48,77.96,77.83,78.56,76.48,77.99,77.53,76.08
1993,77.79,77.87,76.81,77.23,76.75,76.39,74.5,75.65,76.45,76.24,76.27,77.98,75.98,77.51,77.66,78.29,77.62,78.49,76.77,77.76,77.61,76.03
1994,78.07,78.08,77.58,77.67,77.62,77.03,75.15,76.31,77.05,76.78,76.67,78.26,76.61,77.96,77.88,78.31,77.87,78.8,77.05,78.27,77.73,76.76
1995,78.23,78.11,77.8,77.75,77.34,76.72,75.2,76.02,77.02,76.92,76.78,78.18,76.52,77.91,78.32,78.38,78.05,78.94,77.28,78.38,77.88,76.68
1996,78.46,78.4,77.67,77.52,77.83,76.69,75.26,76.56,77.0,77.07,76.63,78.2,76.74,78.23,77.8,78.33,78.04,78.94,77.15,78.45,78.1,77.99
1997,79.3,78.62,78.09,78.49,77.85,77.28,75.61,76.46,77.62,77.18,77.35,78.56,76.86,78.29,78.45,78.8,78.39,79.14,77.78,78.99,78.76,78.23
1998,79.55,78.8,78.26,78.58,77.95,77.55,75.74,76.86,77.86,77.63,77.1,78.86,77.55,78.66,78.41,78.77,78.45,79.12,77.61,78.96,78.71,78.13
1999,79.77,78.7,77.86,78.38,78.22,77.76,75.99,76.77,77.97,77.79,77.66,79.12,77.43,78.82,78.49,78.93,78.24,79.57,78.0,79.34,78.87,78.58
2000,80.11,79.22,78.47,79.12,78.58,78.07,76.19,77.27,78.45,78.16,77.56,79.19,77.89,79.47,78.84,79.34,78.67,79.74,78.16,79.58,79.34,78.61
2001,80.31,79.09,78.68,79.16,78.97,77.74,76.55,77.28,78.58,78.23,78.1,79.53,78.14,79.31,79.07,79.42,79.05,79.99,78.44,79.77,79.51,79.42
2002,80.48,79.57,78.79,78.99,79.05,78.33,76.37,77.32,78.96,78.32,78.01,79.8,78.39,79.72,79.13,79.58,79.43,80.02,78.59,79.98,79.65,79.28
2003,80.23,79.18,78.75,79.49,79.26,78.3,76.62,77.46,79.06,78.18,77.95,79.64,78.76,79.75,79.45,79.66,79.5,80.33,78.76,80.2,79.73,79.76
2004,81.33,80.45,80.05,79.9,80.1,79.25,77.53,78.58,79.96,79.24,79.02,80.67,79.39,80.65,80.45,80.38,80.44,81.24,79.38,81.07,80.76,80.04
2005,81.52,80.48,80.01,80.14,79.97,79.43,77.4,78.55,80.11,79.14,79.13,80.91,79.49,80.74,80.19,80.36,80.31,81.05,79.44,81.12,80.75,80.83
2006,81.9,80.91,80.14,80.45,80.47,79.45,77.79,78.91,80.48,79.78,79.36,81.33,79.96,81.02,80.65,80.91,80.86,81.66,80.14,81.76,81.26,81.49
2007,82.16,81.08,80.56,81.05,80.44,79.88,78.14,78.95,81.01,79.71,79.55,81.5,80.06,81.48,80.76,81.26,81.14,81.9,80.33,82.01,81.5,81.8
2008,82.38,80.92,80.58,81.18,80.84,80.18,78.16,79.02,81.05,79.69,79.91,81.64,80.51,81.66,80.76,81.41,81.14,82.1,80.51,82.09,81.66,82.09
2009,82.65,81.02,80.91,81.11,80.95,80.02,78.51,79.19,80.89,80.02,80.11,81.86,80.61,81.87,81.04,81.48,81.43,82.47,80.62,82.18,81.85,81.54
2010,82.77,81.24,81.09,81.52,81.09,80.3,78.8,79.78,81.14,80.29,80.38,82.2,80.98,82.05,81.2,81.73,81.66,82.57,80.9,82.51,82.19,81.64
2011,83.14,82.21,80.99,81.55,81.65,80.63,79.19,79.88,81.72,80.91,80.81,82.55,81.32,82.76,81.21,82.03,82.13,83.07,81.34,83.11,82.56,82.11
2012,83.32,82.2,81.57,81.69,81.44,80.93,79.3,80.1,81.87,80.72,81.08,82.57,81.41,82.44,81.8,82.02,82.18,82.95,81.28,82.86,82.62,82.82
2013,83.63,82.44,81.88,82.33,81.73,81.25,79.71,80.29,81.9,80.94,81.25,82.82,81.72,82.74,81.94,82.02,82.64,83.29,81.78,83.4,82.8,82.39
2014,84.07,83.04,82.32,82.51,82.3,81.47,80.32,80.76,82.42,81.78,81.68,83.47,82.26,83.11,82.75,83.15,82.78,83.6,82.33,83.77,83.35,83.24
2015,83.86,82.49,82.15,82.6,81.98,81.28,80.1,80.65,82.37,81.19,81.57,82.95,82.23,83.07,82.09,82.83,82.51,83.46,82.27,83.49,82.91,83.41
2016,84.24,82.79,82.3,82.79,82.16,81.61,80.48,80.84,82.79,81.42,81.61,83.35,82.14,83.56,82.26,82.95,82.85,83.75,82.29,83.88,83.29,83.97
2017,84.35,82.75,82.22,82.96,82.45,81.87,80.77,81.09,82.89,81.22,81.78,83.39,82.53,83.31,82.92,82.96,83.09,83.77,82.6,83.98,83.44,84.59
2018,84.51,82.86,82.48,82.7,82.41,81.82,80.79,81.29,82.86,81.58,81.73,83.54,82.32,83.77,82.51,83.17,82.87,83.86,82.49,84.19,83.58,84.38
2019,84.76,83.07,82.65,83.21,82.79,82.15,81.32,81.33,83.36,81.84,81.95,83.77,82.85,83.68,82.62,83.14,83.42,84.07,82.6,84.2,83.69,84.5
2020,83.14,82.76,81.94,81.6,82.16,81.32,80.46,80.42,81.84,81.02,80.93,83.72,82.85,83.92,83.0,83.12,82.83,83.96,82.35,83.26,83.19,84.58
